symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,AmortizationOfIntangibles,AmortizationOfSecurities,AssetImpairmentCharge,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,CashFlowFromContinuingFinancingActivities,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingOperatingActivities,CashFromDiscontinuedFinancingActivities,CashFromDiscontinuedInvestingActivities,CashFromDiscontinuedOperatingActivities,ChangeInAccountPayable,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInIncomeTaxPayable,ChangeInInterestPayable,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,ChangeInPayable,ChangeInPayablesAndAccruedExpense,ChangeInPrepaidAssets,ChangeInReceivables,ChangeInTaxPayable,ChangeInWorkingCapital,ChangesInAccountReceivables,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredIncomeTax,DeferredTax,Depreciation,DepreciationAmortizationDepletion,DepreciationAndAmortization,DividendReceivedCFO,DividendsReceivedCFI,EarningsLossesFromEquityInvestments,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPropertiesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetPreferredStockIssuance,NetShortTermDebtIssuance,OperatingCashFlow,OperatingGainsLosses,OtherCashAdjustmentInsideChangeinCash,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PreferredStockDividendPaid,PreferredStockIssuance,PreferredStockPayments,ProceedsFromStockOptionExercised,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfInvestmentProperties,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfInvestmentProperties,SaleOfPPE,ShortTermDebtIssuance,ShortTermDebtPayments,StockBasedCompensation,UnrealizedGainLossOnInvestmentSecurities,CashFlowFromDiscontinuedOperation,Depletion,ExcessTaxBenefitFromStockBasedCompensation,InterestReceivedCFI,InterestPaidCFF,TaxesRefundPaid,CashFlowsfromusedinOperatingActivitiesDirect,ClassesofCashPayments,ClassesofCashReceiptsfromOperatingActivities,DividendPaidCFO,OtherCashPaymentsfromOperatingActivities,OtherCashReceiptsfromOperatingActivities,PaymentsonBehalfofEmployees,InterestPaidCFO,date,open
A,2021-10-31,12M,USD,,,,2000000.0,1447000000.0,-188000000.0,,-236000000.0,-696000000.0,-749000000.0,1485000000.0,,,,64000000.0,,43000000.0,,,-136000000.0,,,98000000.0,64000000.0,64000000.0,,-128000000.0,,-102000000.0,-128000000.0,40000000.0,-236000000.0,,-788000000.0,14000000.0,14000000.0,,321000000.0,321000000.0,,,,3000000.0,1490000000.0,-696000000.0,1297000000.0,-98000000.0,0.0,,211000000.0,76000000.0,-749000000.0,,848000000.0,848000000.0,-417000000.0,-547000000.0,-788000000.0,,1210000000.0,1210000000.0,-1000000.0,,-10000000.0,356000000.0,431000000.0,-83000000.0,-5000000.0,-187000000.0,,-75000000.0,1485000000.0,-81000000.0,,,11000000.0,,,,,55000000.0,,-547000000.0,-1000000.0,-22000000.0,,-188000000.0,-417000000.0,-788000000.0,0.0,,12000000.0,,1000000.0,1647000000.0,-1722000000.0,110000000.0,,,,,,,,,,,,,,,,2021-10-29,155.1300048828125
A,2022-10-31,12M,USD,,,,0.0,1490000000.0,-291000000.0,,-250000000.0,-1372000000.0,-338000000.0,1312000000.0,,,,121000000.0,,-434000000.0,,,-248000000.0,,,-30000000.0,121000000.0,121000000.0,,-321000000.0,,-478000000.0,-321000000.0,-398000000.0,-250000000.0,,-1139000000.0,8000000.0,8000000.0,,317000000.0,317000000.0,,,,-36000000.0,1056000000.0,-1372000000.0,1021000000.0,67000000.0,0.0,,279000000.0,85000000.0,-338000000.0,,600000000.0,600000000.0,-609000000.0,-52000000.0,-1139000000.0,,1254000000.0,1254000000.0,,,9000000.0,26000000.0,-9000000.0,-67000000.0,-4000000.0,-291000000.0,,35000000.0,1312000000.0,76000000.0,,,10000000.0,,,,,58000000.0,,-52000000.0,,-13000000.0,,-291000000.0,-609000000.0,-1139000000.0,0.0,,22000000.0,,0.0,1295000000.0,-1260000000.0,125000000.0,,,,,,,,,,,,,,,,2022-10-31,137.69000244140625
A,2023-10-31,12M,USD,,,,277000000.0,1056000000.0,-298000000.0,,-265000000.0,-930000000.0,-310000000.0,1772000000.0,,,,-171000000.0,,537000000.0,,,-33000000.0,,,-44000000.0,-171000000.0,-171000000.0,,132000000.0,,-116000000.0,132000000.0,532000000.0,-265000000.0,,-575000000.0,-56000000.0,-56000000.0,,271000000.0,271000000.0,,,,5000000.0,1593000000.0,-930000000.0,1474000000.0,41000000.0,-43000000.0,,199000000.0,89000000.0,-310000000.0,,0.0,0.0,0.0,-1000000.0,-575000000.0,,1240000000.0,1240000000.0,,,-3000000.0,-35000000.0,0.0,-122000000.0,-8000000.0,-298000000.0,,-35000000.0,1772000000.0,-2000000.0,,,47000000.0,,,,,67000000.0,,-51000000.0,,-8000000.0,,-298000000.0,0.0,-575000000.0,50000000.0,,5000000.0,,0.0,,,111000000.0,,,,,,,,,,,,,,,,2023-10-31,103.0
A,2024-10-31,12M,USD,,,,19000000.0,1593000000.0,-378000000.0,,-274000000.0,-752000000.0,-1258000000.0,1751000000.0,,,,103000000.0,,-261000000.0,,,34000000.0,,,-61000000.0,103000000.0,103000000.0,,7000000.0,,83000000.0,7000000.0,-259000000.0,-274000000.0,,-1150000000.0,-64000000.0,-64000000.0,,257000000.0,257000000.0,,,,-2000000.0,1332000000.0,-752000000.0,1373000000.0,-6000000.0,0.0,,314000000.0,80000000.0,-1258000000.0,,1197000000.0,1197000000.0,-600000000.0,-862000000.0,-1150000000.0,,1289000000.0,1289000000.0,,,-5000000.0,637000000.0,597000000.0,-42000000.0,-13000000.0,-378000000.0,,40000000.0,1751000000.0,-6000000.0,,,44000000.0,,,,,77000000.0,,-862000000.0,,-5000000.0,,-378000000.0,-600000000.0,-1150000000.0,0.0,,0.0,,,,,129000000.0,,,,,,,,,,,,,,,,2024-10-31,130.6699981689453
AAPL,2021-09-30,12M,USD,,,,,39789000000.0,-11085000000.0,,-14467000000.0,-93353000000.0,-14545000000.0,104038000000.0,,,,12326000000.0,,-3860000000.0,,,-2642000000.0,-8042000000.0,7475000000.0,1676000000.0,12326000000.0,12326000000.0,,-14028000000.0,,-4911000000.0,-10125000000.0,-3860000000.0,-14467000000.0,1105000000.0,-85971000000.0,-4774000000.0,-4774000000.0,,11284000000.0,11284000000.0,,,,,35929000000.0,-93353000000.0,92953000000.0,,,,25385000000.0,2687000000.0,-14545000000.0,1105000000.0,20393000000.0,20393000000.0,-8750000000.0,-33000000.0,-85971000000.0,,94680000000.0,94680000000.0,,,-3075000000.0,12665000000.0,11643000000.0,-5580000000.0,-385000000.0,-11085000000.0,,1022000000.0,104038000000.0,,,,-4921000000.0,,,,,,,-33000000.0,,-109558000000.0,,-11085000000.0,-8750000000.0,-85971000000.0,,,106483000000.0,,,,,7906000000.0,,,,,,,,,,,,,,,,2021-09-30,143.66000366210938
AAPL,2022-09-30,12M,USD,,,,,35929000000.0,-10708000000.0,,-14841000000.0,-110749000000.0,-22354000000.0,122151000000.0,,,,9448000000.0,,-10952000000.0,,,1484000000.0,-6499000000.0,6110000000.0,478000000.0,9448000000.0,9448000000.0,,-9343000000.0,,1200000000.0,-1823000000.0,-10952000000.0,-14841000000.0,,-89402000000.0,895000000.0,895000000.0,,11104000000.0,11104000000.0,,,,,24977000000.0,-110749000000.0,111443000000.0,,,,19573000000.0,2865000000.0,-22354000000.0,,5465000000.0,5465000000.0,-9543000000.0,-306000000.0,-89402000000.0,,99803000000.0,99803000000.0,,,-9560000000.0,-123000000.0,-4078000000.0,-6383000000.0,-2086000000.0,-10708000000.0,,3955000000.0,122151000000.0,,,,1006000000.0,,,,,,,-306000000.0,,-76923000000.0,,-10708000000.0,-9543000000.0,-89402000000.0,,,67363000000.0,,,,,9038000000.0,,,,,,,,,,,,,,,,2022-09-30,141.27999877929688
AAPL,2023-09-30,12M,USD,,,,,24977000000.0,-10959000000.0,,-15025000000.0,-108488000000.0,3705000000.0,110543000000.0,,,,-1889000000.0,,5760000000.0,,,-1618000000.0,-5684000000.0,3031000000.0,,-1889000000.0,-1889000000.0,,-417000000.0,,-6577000000.0,-1688000000.0,5760000000.0,-15025000000.0,,-77550000000.0,,,,11519000000.0,11519000000.0,,,,,30737000000.0,-108488000000.0,99584000000.0,,,,18679000000.0,3803000000.0,3705000000.0,,5228000000.0,5228000000.0,-11151000000.0,,-77550000000.0,,96995000000.0,96995000000.0,,,16001000000.0,-9901000000.0,-5923000000.0,-6012000000.0,-1337000000.0,-10959000000.0,,-3978000000.0,110543000000.0,,,,-2227000000.0,,,,,,,,,-29513000000.0,,-10959000000.0,-11151000000.0,-77550000000.0,,,45514000000.0,,,,,10833000000.0,,,,,,,,,,,,,,,,2023-09-29,172.02000427246094
AAPL,2024-09-30,12M,USD,,,,,30737000000.0,-9447000000.0,,-15234000000.0,-121983000000.0,2935000000.0,118254000000.0,,,,6020000000.0,,-794000000.0,,,-1046000000.0,-11731000000.0,15552000000.0,,6020000000.0,6020000000.0,,-5144000000.0,,3651000000.0,-3788000000.0,-794000000.0,-15234000000.0,,-94949000000.0,,,,11445000000.0,11445000000.0,,,,,29943000000.0,-121983000000.0,108807000000.0,,,,26102000000.0,,2935000000.0,,0.0,0.0,-9958000000.0,,-94949000000.0,,93736000000.0,93736000000.0,,,13690000000.0,-5998000000.0,-9958000000.0,-5802000000.0,-1308000000.0,-9447000000.0,,3960000000.0,118254000000.0,,,,-2266000000.0,,,,,,,,,-48656000000.0,,-9447000000.0,-9958000000.0,-94949000000.0,,,62346000000.0,,,,,11688000000.0,,,,,,,,,,,,,,,,2024-09-30,230.0399932861328
ABBV,2021-12-31,12M,USD,7718000000.0,7718000000.0,,50000000.0,8449000000.0,-787000000.0,,-9261000000.0,-19039000000.0,-2344000000.0,22777000000.0,,,,1719000000.0,,1297000000.0,,,-142000000.0,,,-1290000000.0,1719000000.0,1719000000.0,-197000000.0,-1321000000.0,,-1231000000.0,-1321000000.0,1394000000.0,-9261000000.0,,-934000000.0,-898000000.0,-898000000.0,803000000.0,8521000000.0,8521000000.0,,,,-97000000.0,9746000000.0,-19039000000.0,21990000000.0,,-68000000.0,,3648000000.0,2712000000.0,-2344000000.0,,1000000000.0,1000000000.0,-9414000000.0,-1902000000.0,-934000000.0,,11542000000.0,11549000000.0,,,-21000000.0,-8414000000.0,-8414000000.0,-674000000.0,366000000.0,-787000000.0,,0.0,22777000000.0,-68000000.0,,,3999000000.0,,,,,244000000.0,163000000.0,-1902000000.0,,-119000000.0,,-787000000.0,-9414000000.0,-934000000.0,,,98000000.0,,,,0.0,692000000.0,,,,,,,,,,,,,,,,2021-12-31,136.0399932861328
ABBV,2022-12-31,12M,USD,7689000000.0,7689000000.0,,770000000.0,9746000000.0,-695000000.0,,-10043000000.0,-24803000000.0,-623000000.0,24943000000.0,,,,1769000000.0,,-545000000.0,,,-686000000.0,,,542000000.0,1769000000.0,1769000000.0,-264000000.0,-1455000000.0,,-94000000.0,-1455000000.0,-483000000.0,-10043000000.0,,-1487000000.0,-1931000000.0,-1931000000.0,778000000.0,8467000000.0,8467000000.0,,,,-62000000.0,9201000000.0,-24803000000.0,24248000000.0,,-172000000.0,,2988000000.0,2546000000.0,-623000000.0,,2000000000.0,2000000000.0,-14433000000.0,-794000000.0,-1487000000.0,,11836000000.0,11845000000.0,,,92000000.0,-12433000000.0,-12433000000.0,-1102000000.0,774000000.0,-695000000.0,,0.0,24943000000.0,-172000000.0,,,3144000000.0,,,,,262000000.0,2243000000.0,-794000000.0,,-1438000000.0,,-695000000.0,-14433000000.0,-1487000000.0,,,1530000000.0,,,0.0,0.0,671000000.0,,,,,,,,,,,,,,,,2022-12-30,162.22999572753906
